Crop_Categ,X,Y,MUSYM,MUKEY,Elevation,Slope,Dep2ResLyr,TempMaxAnn,TempMinAnn,rainannual,rainmmin,rainmmax,rainjan,rainfeb,rainmarch,rainapr,rainmay,rainjune,rainjuly,rainaug,rainsept,rainoct,rainnov,raindec,ECEC,pHwater,Db3rdbar,AWS100,OrgMatter,FloodCode,TextCode,DrainCode,NameCode
Banana,270394.8554,2207528.8320,RB,1883159,489,35,76,26,19,3987,231,451,337,285,451,417,289,231,348,338,258,283,438,312,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,270291.8563,2207449.5898,RB,1883159,520,50,76,26,19,4049,235,460,343,290,460,423,294,235,352,343,261,287,442,316,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,270303.9554,2207426.2733,HoD,1883070,520,47,201,26,19,4049,235,460,343,291,460,423,294,235,352,344,261,287,443,316,12.2,5.8,0.4,31.60,6.88,3,54,6,54
Banana,270435.0204,2207530.3517,HoD,1883070,494,28,201,26,18,3987,231,451,336,284,451,416,288,231,347,337,258,282,437,311,12.2,5.8,0.4,31.60,6.88,3,54,6,54
Banana,276305.0812,2199596.3075,HoC,1883069,569,21,201,25,18,4114,249,473,313,301,473,390,298,249,345,346,319,318,439,319,12.2,5.8,0.4,31.60,6.88,3,54,6,53
Banana,276346.6203,2199593.5690,HoC,1883069,552,18,201,25,18,4030,242,463,312,300,463,390,297,242,343,345,312,318,437,318,12.2,5.8,0.4,31.60,6.88,3,54,6,53
Banana,276478.5720,2199681.3949,HoE,1883071,524,11,201,26,18,4030,242,463,307,296,463,385,291,242,337,338,312,314,430,314,12.2,5.8,0.4,31.60,6.88,3,54,6,55
Banana,276378.8654,2199638.1975,HoE,1883071,552,14,201,25,18,4030,242,463,310,299,463,388,295,242,341,343,312,316,435,317,12.2,5.8,0.4,31.60,6.88,3,54,6,55
Banana,276464.3917,2199653.7239,HoE,1883071,542,11,201,26,18,4030,242,463,308,297,463,386,292,242,338,339,312,315,431,315,12.2,5.8,0.4,31.60,6.88,3,54,6,55
Banana,278099.0286,2195012.8442,RB,1883159,737,27,76,25,17,4386,279,489,321,313,489,423,315,279,376,360,335,348,472,336,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278495.5608,2195087.7101,RB,1883159,690,24,76,25,17,4151,262,459,309,304,459,400,300,262,358,344,317,336,456,325,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278305.7098,2195022.7038,RB,1883159,707,21,76,25,17,4282,272,476,315,308,476,411,307,272,367,352,327,342,464,330,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278099.6362,2194955.1946,RB,1883159,765,17,76,25,17,4386,279,489,322,313,489,424,316,279,377,360,335,348,472,336,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278137.8898,2194950.7431,RB,1883159,755,18,76,25,17,4386,279,489,320,312,489,422,314,279,375,359,335,347,471,335,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278179.9033,2194983.4333,RB,1883159,719,14,76,25,17,4386,279,489,319,311,489,419,312,279,373,357,335,346,469,334,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278187.5562,2194950.2309,RB,1883159,755,18,76,25,17,4386,279,489,319,311,489,419,313,279,373,357,335,346,469,334,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,277655.7868,2194909.6276,RB,1883159,820,12,76,25,17,4605,294,516,337,323,516,450,334,294,398,378,352,363,492,349,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,277370.3476,2194992.9480,RB,1883159,867,12,76,25,17,4722,303,531,346,330,531,465,345,303,409,389,361,371,504,356,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278699.8275,2195188.9971,RB,1883159,659,22,76,25,18,4061,256,448,302,300,448,388,292,256,349,336,311,330,448,320,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278649.0316,2195159.9221,RB,1883159,704,26,76,25,18,4061,256,448,304,301,448,391,294,256,352,338,311,331,450,321,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,279064.4918,2195542.5096,RB,1883159,593,17,76,25,18,3948,248,435,290,292,435,368,277,248,331,320,302,318,431,311,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278948.3002,2195424.4397,RB,1883159,604,13,76,25,18,3948,248,435,294,295,435,374,282,248,337,325,302,322,437,313,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278878.6489,2195300.3255,RB,1883159,616,16,76,25,18,4027,253,444,297,296,444,379,285,253,341,329,308,324,440,315,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278205.0851,2195100.3884,RB,1883159,713,9,76,25,17,4346,276,484,317,310,484,415,310,276,370,355,332,344,467,332,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278247.0048,2195104.0209,RB,1883159,700,10,76,25,17,4245,269,471,315,309,471,413,309,269,368,353,324,343,465,331,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278098.1869,2195086.3601,RB,1883159,730,25,76,25,17,4346,276,484,320,312,484,421,314,276,374,359,332,347,471,335,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278144.2943,2195088.4298,RB,1883159,713,15,76,25,17,4346,276,484,319,311,484,419,313,276,372,357,332,346,469,334,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,278172.5320,2195059.3369,RB,1883159,719,8,76,25,17,4386,279,489,318,311,489,418,312,279,372,356,335,345,468,333,0.0,5.3,0.6,11.40,9.63,3,54,6,246
Banana,277797.1415,2194992.8240,RB,1883159,784,18,76,25,17,4493,286,502,331,320,502,440,327,286,389,372,343,357,485,344,0.0,5.3,0.6,11.40,9.63,3,54,6,246
